,Neighborhoods,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Harbourfront,43.639230000000055,-79.38306999999998,Harbourfront Centre,43.63855578926675,-79.38319016270458,Performing Arts Venue
1,Harbourfront,43.639230000000055,-79.38306999999998,Harbourfront,43.639525632239106,-79.38068838052389,Neighborhood
2,Harbourfront,43.639230000000055,-79.38306999999998,Natrel Pond/Rink,43.6384313677662,-79.38252754335107,Skating Rink
3,Harbourfront,43.639230000000055,-79.38306999999998,Lick It Gelato,43.63925633222479,-79.38464951914256,Ice Cream Shop
4,Harbourfront,43.639230000000055,-79.38306999999998,Lake Ontario,43.63894493157648,-79.37966465950012,Lake
5,Harbourfront,43.639230000000055,-79.38306999999998,The Power Plant,43.63827200397285,-79.38199390946676,Art Gallery
6,Harbourfront,43.639230000000055,-79.38306999999998,Roundhouse Park,43.64174513889102,-79.38427882922346,Park
7,Harbourfront,43.639230000000055,-79.38306999999998,BeaverTails,43.639736,-79.380068,Dessert Shop
8,Harbourfront,43.639230000000055,-79.38306999999998,Ontario Square,43.63937829745867,-79.38209598496967,Plaza
9,Harbourfront,43.639230000000055,-79.38306999999998,Fleck Dance Theater,43.638300366812686,-79.3804699399247,Dance Studio
10,Harbourfront,43.639230000000055,-79.38306999999998,Boxcar Social,43.63831906511549,-79.38246311921247,Café
11,Harbourfront,43.639230000000055,-79.38306999999998,Evviva Restaurant,43.64157991761808,-79.38345644030795,Deli / Bodega
12,Harbourfront,43.639230000000055,-79.38306999999998,Harbour Square Park,43.63925269130776,-79.37839547902978,Park
13,Harbourfront,43.639230000000055,-79.38306999999998,Amsterdam Brewhouse,43.63812210550607,-79.38480300808894,Brewery
14,Harbourfront,43.639230000000055,-79.38306999999998,Tim Hortons,43.6387246,-79.3863403,Coffee Shop
15,Harbourfront,43.639230000000055,-79.38306999999998,Delta Hotels by Marriott Toronto,43.6428819,-79.3839491,Hotel
16,Harbourfront,43.639230000000055,-79.38306999999998,Pearl Harbourfront,43.63815654013541,-79.38068763743328,Chinese Restaurant
17,Harbourfront,43.639230000000055,-79.38306999999998,Toronto Railway Heritage Centre,43.64130010529897,-79.38588431405732,History Museum
18,Harbourfront,43.639230000000055,-79.38306999999998,Steam Whistle Brewing,43.641751628677554,-79.38708862583252,Brewery
19,Harbourfront,43.639230000000055,-79.38306999999998,HTO Park,43.63794857171933,-79.38781965601113,Park
20,Harbourfront,43.639230000000055,-79.38306999999998,Steam Whistle's Biergarten,43.64066595472727,-79.38585895302366,Restaurant
21,Harbourfront,43.639230000000055,-79.38306999999998,iQ Food Co,43.642851,-79.382081,Salad Place
22,Harbourfront,43.639230000000055,-79.38306999999998,Radisson Admiral Hotel Toronto-Harbourfront,43.63876484495362,-79.38587089636458,Hotel
23,Harbourfront,43.639230000000055,-79.38306999999998,Ripley's Aquarium of Canada,43.642104321965796,-79.38625159146146,Aquarium
24,Harbourfront,43.639230000000055,-79.38306999999998,Gonoe Sushi Japanese Restaurant,43.63901430970685,-79.38591360078077,Sushi Restaurant
25,Harbourfront,43.639230000000055,-79.38306999999998,Sharetea,43.640175967763966,-79.37960567018246,Bubble Tea Shop
26,Harbourfront,43.639230000000055,-79.38306999999998,Aroma Espresso Bar,43.6423209103846,-79.38374932648954,Café
27,Harbourfront,43.639230000000055,-79.38306999999998,Rogers Centre,43.64175329733295,-79.38714957057036,Baseball Stadium
28,Harbourfront,43.639230000000055,-79.38306999999998,Labatt Breweries of Canada,43.63828189167837,-79.38037771487727,Brewery
29,Harbourfront,43.639230000000055,-79.38306999999998,Maple Leaf Square,43.64292522840183,-79.38089182467687,Plaza
30,Harbourfront,43.639230000000055,-79.38306999999998,CN Tower,43.642277432828145,-79.38705542070056,Monument / Landmark
31,Harbourfront,43.639230000000055,-79.38306999999998,Pie Bar,43.63817355603517,-79.38054644461133,Pizza Place
32,Harbourfront,43.639230000000055,-79.38306999999998,Enwave Theatre,43.63863608843057,-79.38229942602973,Theater
33,Harbourfront,43.639230000000055,-79.38306999999998,Longo's Maple Leaf Square,43.64251679604069,-79.38139301653129,Supermarket
34,Harbourfront,43.639230000000055,-79.38306999999998,Harbourfront Wavedecks,43.6389104293985,-79.38485064893273,Scenic Lookout
35,Harbourfront,43.639230000000055,-79.38306999999998,Real Sports Apparel,43.64285984835777,-79.38018363195047,Sporting Goods Shop
36,Harbourfront,43.639230000000055,-79.38306999999998,Taverna Mercatto,43.64262514139939,-79.38325673989138,Italian Restaurant
37,Harbourfront,43.639230000000055,-79.38306999999998,Sky Pod,43.64256148814412,-79.38703777833165,Scenic Lookout
38,Harbourfront,43.639230000000055,-79.38306999999998,Delta Toronto Club Lounge,43.64308454373067,-79.38388489051405,Roof Deck
39,Harbourfront,43.639230000000055,-79.38306999999998,Ray Bay,43.642323,-79.38593,Aquarium
40,Harbourfront,43.639230000000055,-79.38306999999998,SOCO Kitchen+Bar,43.6429974,-79.383788,Bistro
41,Harbourfront,43.639230000000055,-79.38306999999998,Dangerous Lagoon,43.64233,-79.385925,Aquarium
42,Harbourfront,43.639230000000055,-79.38306999999998,Y Yoga,43.638533613620204,-79.38915754933562,Yoga Studio
43,Harbourfront,43.639230000000055,-79.38306999999998,World Café at Harbourfront Centre,43.63834730048568,-79.383045755058,Café
44,Harbourfront,43.639230000000055,-79.38306999999998,e11even,43.64242558687748,-79.38144094115985,New American Restaurant
45,Harbourfront,43.639230000000055,-79.38306999999998,Joe Bird,43.6382035241723,-79.38035466343936,Fried Chicken Joint
46,Harbourfront,43.639230000000055,-79.38306999999998,Indian Roti House,43.63906038875002,-79.38542224544638,Indian Restaurant
47,Harbourfront,43.639230000000055,-79.38306999999998,TELUS,43.64331243103257,-79.38099939294844,IT Services
48,Harbourfront,43.639230000000055,-79.38306999999998,Le Germain Hotel,43.64312502979691,-79.38091770864038,Hotel
49,Harbourfront,43.639230000000055,-79.38306999999998,WestJet Stage,43.63802210524934,-79.38353594515505,Music Venue
50,Harbourfront,43.639230000000055,-79.38306999999998,Toronto Railway Museum,43.64074506722835,-79.38598104134535,History Museum
51,Harbourfront,43.639230000000055,-79.38306999999998,The Rec Room,43.641109851662456,-79.38676279808568,Bar
52,Harbourfront,43.639230000000055,-79.38306999999998,Starbucks,43.639954,-79.382025,Coffee Shop
53,Harbourfront,43.639230000000055,-79.38306999999998,Redpath Stage,43.63876358449261,-79.38331731184844,Music Venue
54,Harbourfront,43.639230000000055,-79.38306999999998,Booster Juice,43.64322536,-79.3812383,Juice Bar
55,Harbourfront,43.639230000000055,-79.38306999999998,Lucky Clover Sports Pub,43.641136939105614,-79.38335124348639,Sports Bar
56,Harbourfront,43.639230000000055,-79.38306999999998,Canadian Waters,43.64210325443365,-79.3862534013201,Aquarium
57,Harbourfront,43.639230000000055,-79.38306999999998,Lavazza Espression,43.63953746292591,-79.38176322686563,Coffee Shop
58,Harbourfront,43.639230000000055,-79.38306999999998,Rainbow Reef,43.64226,-79.385994,Aquarium
59,Harbourfront,43.639230000000055,-79.38306999999998,Corks Beer & Wine Bar,43.64249338656422,-79.38154042927468,Bar
60,Harbourfront,43.639230000000055,-79.38306999999998,Subway,43.6397080530486,-79.38344130418051,Sandwich Place
61,Harbourfront,43.639230000000055,-79.38306999999998,Iron Rose Tea Gallery,43.6400591104487,-79.38315167425998,Tea Room
62,Harbourfront,43.639230000000055,-79.38306999999998,Glass Floor,43.642643117348996,-79.38694780301735,Scenic Lookout
63,Harbourfront,43.639230000000055,-79.38306999999998,Buster's Sea Cove,43.642636994917666,-79.38337001427526,Seafood Restaurant
64,Harbourfront,43.639230000000055,-79.38306999999998,360 Restaurant,43.642537317144566,-79.38704201569328,Wine Bar
65,Harbourfront,43.639230000000055,-79.38306999999998,Aroma Espresso Bar,43.64074017304165,-79.37847790115718,Coffee Shop
66,Harbourfront,43.639230000000055,-79.38306999999998,Panago,43.64251764051932,-79.38359138522554,Pizza Place
67,Harbourfront,43.639230000000055,-79.38306999999998,Kupfert & Kim,43.64117858582677,-79.37814448224783,Vegetarian / Vegan Restaurant
68,Harbourfront,43.639230000000055,-79.38306999999998,Popeyes Louisiana Kitchen,43.640271595656074,-79.38148902482857,Fried Chicken Joint
69,Harbourfront,43.639230000000055,-79.38306999999998,Toronto Blue Jays Box Office,43.64241616569043,-79.38586232130253,Baseball Stadium
70,Harbourfront,43.639230000000055,-79.38306999999998,Rabba Fine Foods,43.63906132458212,-79.38530912453628,Convenience Store
71,Harbourfront,43.639230000000055,-79.38306999999998,Maple Leaf Cinema,43.64222083877541,-79.38764371750614,Indie Movie Theater
72,Harbourfront,43.639230000000055,-79.38306999999998,Starbucks,43.64309,-79.383071,Coffee Shop
73,Harbourfront,43.639230000000055,-79.38306999999998,Jays Shop Stadium Edition,43.64172087102789,-79.38712659895614,Sporting Goods Shop
74,Harbourfront,43.639230000000055,-79.38306999999998,Tim Hortons,43.63882773618699,-79.38037276268005,Coffee Shop
75,Harbourfront,43.639230000000055,-79.38306999999998,Starbucks,43.64265659071355,-79.3833577475679,Coffee Shop
76,Harbourfront,43.639230000000055,-79.38306999999998,Dollarama,43.641765,-79.379589,Discount Store
77,Harbourfront,43.639230000000055,-79.38306999999998,Queen's Quay Terminal,43.63831769002353,-79.38041263300326,Office
78,Harbourfront,43.639230000000055,-79.38306999999998,The Goodman Pub & Kitchen,43.638300916387905,-79.38000753984343,Restaurant
79,Harbourfront,43.639230000000055,-79.38306999999998,The Beer Store,43.638502,-79.3890935,Beer Store
80,Harbourfront,43.639230000000055,-79.38306999999998,Pizzaiolo,43.63911334934392,-79.38726583483393,Pizza Place
81,Harbourfront,43.639230000000055,-79.38306999999998,RBC Royal Bank,43.6408925738686,-79.37841340899467,Bank
82,Harbourfront,43.639230000000055,-79.38306999999998,Starbucks,43.638837475031316,-79.38518649083973,Coffee Shop
83,Harbourfront,43.639230000000055,-79.38306999999998,Piazza Manna,43.641460067165184,-79.37771914472566,Italian Restaurant
84,Harbourfront,43.639230000000055,-79.38306999999998,Winners,43.64206291678669,-79.37900143460836,Department Store
85,Harbourfront,43.639230000000055,-79.38306999999998,Subway,43.64105847366237,-79.37858572023777,Sandwich Place
86,Harbourfront,43.639230000000055,-79.38306999999998,Thai Express,43.64309,-79.383071,Restaurant
87,Harbourfront,43.639230000000055,-79.38306999999998,TD Canada Trust,43.64219452552069,-79.38084349036222,Bank
88,Harbourfront,43.639230000000055,-79.38306999999998,A&W,43.64136651819956,-79.37794165160912,Fast Food Restaurant
89,Harbourfront,43.639230000000055,-79.38306999999998,Spice Thai,43.63940652819094,-79.38445898645135,Thai Restaurant
90,Harbourfront,43.639230000000055,-79.38306999999998,SportChek,43.642814842317044,-79.38040776035005,Sporting Goods Shop
91,Harbourfront,43.639230000000055,-79.38306999999998,Pizza Pizza,43.63969347230513,-79.38179969787598,Pizza Place
92,Harbourfront,43.639230000000055,-79.38306999999998,Aria Ristorante,43.64329880302282,-79.38103414760897,Italian Restaurant
93,Harbourfront,43.639230000000055,-79.38306999999998,Starbucks,43.64248403759282,-79.38137332505133,Coffee Shop
94,Harbourfront,43.639230000000055,-79.38306999999998,Waterclub Gym & Pool,43.64002310860782,-79.38177707646237,Gym
95,Harbourfront,43.639230000000055,-79.38306999999998,CHAR No5.,43.642834958614266,-79.38400905346897,Whisky Bar
96,Harbourfront,43.639230000000055,-79.38306999999998,Sobeys Urban Fresh Queens Quay,43.638769,-79.380756,Grocery Store
97,Harbourfront,43.639230000000055,-79.38306999999998,Shoeless Joe's,43.639022173178894,-79.38596252322581,Sports Bar
98,Harbourfront,43.639230000000055,-79.38306999999998,Tim Hortons,43.64311617832066,-79.3831081688677,Coffee Shop
99,Harbourfront,43.639230000000055,-79.38306999999998,Szechuan Express,43.64134582504235,-79.37796013792254,Chinese Restaurant
100,Garden District,43.648690000000045,-79.38543999999996,Shangri-La Toronto,43.64912919417502,-79.3865566853963,Hotel
101,Garden District,43.648690000000045,-79.38543999999996,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
102,Garden District,43.648690000000045,-79.38543999999996,The Keg Steakhouse + Bar - York Street,43.64998659318569,-79.38410336664538,Restaurant
103,Garden District,43.648690000000045,-79.38543999999996,Soho House Toronto,43.64873430659662,-79.38654117564838,Speakeasy
104,Garden District,43.648690000000045,-79.38543999999996,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
105,Garden District,43.648690000000045,-79.38543999999996,Lobby Lounge at the Shangri-La Toronto,43.64915499986854,-79.38654574367817,Lounge
106,Garden District,43.648690000000045,-79.38543999999996,Pai,43.64792310735613,-79.38857932631602,Thai Restaurant
107,Garden District,43.648690000000045,-79.38543999999996,Sam James Coffee Bar (SJCB),43.64788137014028,-79.38433152836829,Café
108,Garden District,43.648690000000045,-79.38543999999996,Byblos Toronto,43.647615054171766,-79.3883810317138,Mediterranean Restaurant
109,Garden District,43.648690000000045,-79.38543999999996,Cafe Landwer,43.64875349932059,-79.3853673607289,Café
110,Garden District,43.648690000000045,-79.38543999999996,Hy's Steakhouse,43.649504756476944,-79.38291850488223,Steakhouse
111,Garden District,43.648690000000045,-79.38543999999996,Royal Alexandra Theatre,43.647255,-79.38753,Theater
112,Garden District,43.648690000000045,-79.38543999999996,JaBistro,43.64968685893743,-79.38809001547467,Sushi Restaurant
113,Garden District,43.648690000000045,-79.38543999999996,The Burger's Priest,43.64864328298093,-79.38753876719665,Fast Food Restaurant
114,Garden District,43.648690000000045,-79.38543999999996,Roy Thomson Hall,43.6465886970634,-79.38597899374354,Concert Hall
115,Garden District,43.648690000000045,-79.38543999999996,Bosk at Shangri-La,43.649022736761516,-79.38582635521233,Asian Restaurant
116,Garden District,43.648690000000045,-79.38543999999996,Copacabana Grilled Brazilian,43.64833259480477,-79.3881514766071,Brazilian Restaurant
117,Garden District,43.648690000000045,-79.38543999999996,Friendly Stranger - Cannabis Culture Shop,43.6501958073437,-79.38851084110452,Smoke Shop
118,Garden District,43.648690000000045,-79.38543999999996,Maman,43.64830873804684,-79.38225333898805,Café
119,Garden District,43.648690000000045,-79.38543999999996,Adelaide Club Toronto,43.64927944291712,-79.38192123284551,Gym / Fitness Center
120,Garden District,43.648690000000045,-79.38543999999996,Canadian Opera Company,43.6506601893789,-79.38624169559013,Opera House
121,Garden District,43.648690000000045,-79.38543999999996,Starbucks,43.646731,-79.383951,Coffee Shop
122,Garden District,43.648690000000045,-79.38543999999996,Estiatorio Volos,43.65032912559998,-79.38453301297716,Greek Restaurant
123,Garden District,43.648690000000045,-79.38543999999996,King Taps,43.648475974183,-79.38205778358744,Gastropub
124,Garden District,43.648690000000045,-79.38543999999996,Bulldog On The Block,43.65065218852629,-79.38414092873634,Coffee Shop
125,Garden District,43.648690000000045,-79.38543999999996,Canoe,43.647452066183476,-79.38132001815676,Restaurant
126,Garden District,43.648690000000045,-79.38543999999996,Princess Of Wales Theatre,43.64654315405365,-79.38910030187289,Theater
127,Garden District,43.648690000000045,-79.38543999999996,Hilton,43.6499459,-79.385479,Hotel
128,Garden District,43.648690000000045,-79.38543999999996,DAVIDsTEA,43.650546552943766,-79.38338493349875,Tea Room
129,Garden District,43.648690000000045,-79.38543999999996,Ninki Izakaya,43.65022782352305,-79.38486260004564,Japanese Restaurant
130,Garden District,43.648690000000045,-79.38543999999996,Tachi,43.65059603893127,-79.38339613055128,Sushi Restaurant
131,Garden District,43.648690000000045,-79.38543999999996,Kops Records,43.65051219841103,-79.38812570541256,Record Shop
132,Garden District,43.648690000000045,-79.38543999999996,Ruth's Chris Steak House,43.6499174,-79.3857238,Steakhouse
133,Garden District,43.648690000000045,-79.38543999999996,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
134,Garden District,43.648690000000045,-79.38543999999996,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
135,Garden District,43.648690000000045,-79.38543999999996,HotBlack Coffee,43.65036434800487,-79.38866907575726,Coffee Shop
136,Garden District,43.648690000000045,-79.38543999999996,The Ritz-Carlton,43.645330157595886,-79.38708901405334,Hotel
137,Garden District,43.648690000000045,-79.38543999999996,Civello Salon & Spa,43.6500197743058,-79.38940017059696,Salon / Barbershop
138,Garden District,43.648690000000045,-79.38543999999996,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
139,Garden District,43.648690000000045,-79.38543999999996,Daily Press Juicery,43.65038785952372,-79.38879174332155,Juice Bar
140,Garden District,43.648690000000045,-79.38543999999996,Cactus Club Cafe,43.6495520142626,-79.38167072512041,American Restaurant
141,Garden District,43.648690000000045,-79.38543999999996,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
142,Garden District,43.648690000000045,-79.38543999999996,Brick Street Bakery,43.6488151631615,-79.38060468610949,Bakery
143,Garden District,43.648690000000045,-79.38543999999996,Green Box Fresh Food Bar,43.650437581817954,-79.38861137514365,Sandwich Place
144,Garden District,43.648690000000045,-79.38543999999996,Toronto PATH System,43.64990340698978,-79.3830527039004,General Travel
145,Garden District,43.648690000000045,-79.38543999999996,TOCA,43.64543117726125,-79.38705858895491,Italian Restaurant
146,Garden District,43.648690000000045,-79.38543999999996,TIFF Bell Lightbox,43.64634159071232,-79.39006297129853,Movie Theater
147,Garden District,43.648690000000045,-79.38543999999996,Dark Horse Espresso Bar,43.64829161679981,-79.39039040155937,Coffee Shop
148,Garden District,43.648690000000045,-79.38543999999996,Assembly Chef's Hall,43.650578865093934,-79.3834119303614,Food Court
149,Garden District,43.648690000000045,-79.38543999999996,Equinox Bay Street,43.64809974034856,-79.37998869411526,Gym
150,Garden District,43.648690000000045,-79.38543999999996,Hakata Ikkousha Ramen,43.650299,-79.388753,Ramen Restaurant
151,Garden District,43.648690000000045,-79.38543999999996,John & Sons Oyster House,43.65060229830571,-79.38155510682869,Seafood Restaurant
152,Garden District,43.648690000000045,-79.38543999999996,The Rex Hotel Jazz & Blues Bar,43.65050475544005,-79.38857723389897,Jazz Club
153,Garden District,43.648690000000045,-79.38543999999996,Queen Mother Cafe,43.650401,-79.389156,Thai Restaurant
154,Garden District,43.648690000000045,-79.38543999999996,Hilton Toronto Executive Lounge,43.650363125865155,-79.38580184119992,Breakfast Spot
155,Garden District,43.648690000000045,-79.38543999999996,The Cambridge Club,43.65166287812755,-79.38307469732278,Gym
156,Garden District,43.648690000000045,-79.38543999999996,Omg! Oh My Gyro!,43.6500639687058,-79.39110371201055,Souvlaki Shop
157,Garden District,43.648690000000045,-79.38543999999996,Walrus Pub & Beer Hall,43.64737470920577,-79.37951515363918,Pub
158,Garden District,43.648690000000045,-79.38543999999996,Little India Restaurant,43.65031880877208,-79.38899760320798,Indian Restaurant
159,Garden District,43.648690000000045,-79.38543999999996,The Fairmont Royal York,43.64544914616651,-79.3815076529019,Hotel
160,Garden District,43.648690000000045,-79.38543999999996,Umbra Concept Store,43.650417,-79.391136,Furniture / Home Store
161,Garden District,43.648690000000045,-79.38543999999996,Michaels,43.64869949375211,-79.3910962343216,Arts & Crafts Store
162,Garden District,43.648690000000045,-79.38543999999996,Lavish & Squalor,43.65030427070834,-79.38892664709715,Clothing Store
163,Garden District,43.648690000000045,-79.38543999999996,Colibri,43.651041,-79.384065,Taco Place
164,Garden District,43.648690000000045,-79.38543999999996,Old City Hall,43.652008800876125,-79.3817442232328,Monument / Landmark
165,Garden District,43.648690000000045,-79.38543999999996,Noodle King,43.65170632794881,-79.38304628912547,Asian Restaurant
166,Garden District,43.648690000000045,-79.38543999999996,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
167,Garden District,43.648690000000045,-79.38543999999996,Queen St. Warehouse,43.650116540590425,-79.3903160886256,Bar
168,Garden District,43.648690000000045,-79.38543999999996,Essential Beauty Bar,43.65051268683632,-79.38802119167447,Cosmetics Shop
169,Garden District,43.648690000000045,-79.38543999999996,Planta Queen,43.650622,-79.388154,Vegetarian / Vegan Restaurant
170,Garden District,43.648690000000045,-79.38543999999996,The National Club,43.64934259283233,-79.3805735731846,Wine Bar
171,Garden District,43.648690000000045,-79.38543999999996,The Gabardine,43.65098801064232,-79.38122513218154,American Restaurant
172,Garden District,43.648690000000045,-79.38543999999996,Toronto City Hall Rooftop Garden,43.651230845735505,-79.3837674874531,Garden
173,Garden District,43.648690000000045,-79.38543999999996,Design Exchange,43.64797219581623,-79.38010382588462,Art Gallery
174,Garden District,43.648690000000045,-79.38543999999996,John Fluevog Shoes,43.6499881760459,-79.39079046249388,Shoe Store
175,Garden District,43.648690000000045,-79.38543999999996,Osgoode Hall Park,43.651104579673685,-79.3862691864201,Park
176,Garden District,43.648690000000045,-79.38543999999996,John Allans,43.651446635211904,-79.38135389611388,Salon / Barbershop
177,Garden District,43.648690000000045,-79.38543999999996,Boxcar Social Temperance,43.65055725249405,-79.38195634640063,Bar
178,Garden District,43.648690000000045,-79.38543999999996,Petit Four Bakery,43.647743692587085,-79.37958814250598,Sandwich Place
