,Postal code,Borough,Neighborhoods,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7588952965143,-79.32032242259716
1,M4A,North York,Victoria Village,43.73154000000005,-79.31427999999994
2,M5A,Downtown Toronto,Regent Park,43.660690000000045,-79.36030999999997
3,M5A,Downtown Toronto,Harbourfront,43.639230000000055,-79.38306999999998
4,M6A,North York,Lawrence Manor,43.72294000000005,-79.43115999999998
5,M6A,North York,Lawrence Heights,43.72357000000005,-79.43710999999996
6,M7A,Queen's Park,Ontario Provincial Government,43.666621747669836,-79.39326407048318
7,M9A,Etobicoke,Islington Avenue,43.738221166575215,-79.56573343932973
8,M1B,Scarborough,Malvern,43.81023000000005,-79.22037999999998
9,M1B,Scarborough,Rouge,43.807660000000055,-79.17404999999997
10,M3B,North York,Don Mills  North,43.705685127473515,-79.33385691603588
11,M4B,East York,Parkview Hill,43.70464000000004,-79.32266999999996
12,M4B,East York,Woodbine Gardens,43.70626000000004,-79.30090999999999
13,M5B,Downtown Toronto,Garden District,43.648690000000045,-79.38543999999996
14,M5B,Downtown Toronto,Ryerson,43.64884662065743,-79.40249206410026
15,M6B,North York,Glencairn,43.708432596237074,-79.44644871017785
16,M9B,Etobicoke,West Deane Park,43.65297000000004,-79.55741999999998
17,M9B,Etobicoke,Princess Gardens,43.67268172333881,-79.5425557950166
18,M9B,Etobicoke,Martin Grove,43.65611194707431,-79.55389479485254
19,M9B,Etobicoke,Islington,43.738221166575215,-79.56573343932973
20,M9B,Etobicoke,Cloverdale,43.630123762186514,-79.55613612126254
21,M1C,Scarborough,Rouge Hill,43.78716000000003,-79.13251999999994
22,M1C,Scarborough,Port Union,43.77897000000007,-79.13108999999997
23,M1C,Scarborough,Highland Creek,43.789480000000026,-79.17613999999998
24,M3C,North York,Don Mills  South  Flemingdon Park,43.70799455882522,-79.33378277806612
25,M4C,East York,Woodbine Heights,43.70632371963116,-79.32151698345479
26,M5C,Downtown Toronto,St. James Town,43.67110000000008,-79.37358999999998
27,M6C,York,Humewood-Cedarvale,43.68942000000004,-79.42697999999996
28,M9C,Etobicoke,Eringate,43.66169683126957,-79.5782401312465
29,M9C,Etobicoke,Bloordale Gardens,43.63349000000005,-79.57073999999994
30,M9C,Etobicoke,Old Burnhamthorpe,43.64350961602527,-79.57988402000329
